Ticker,Chart Link,Company,Sector,Price,Market Cap,Revenue Growth %,EPS Growth %,3M Momentum %,Pullback 1M %,RSI,MA50,MA200,Above MA50,Above MA200,MA50 > MA200,Entry Setup,High Conviction Dip Buy,News Sentiment Score,News Sentiment Label,News Headlines Count,Top News Headlines,P/E,Forward P/E,Free Cash Flow,Debt to Equity,ROE %,Profit Margin %,Score,Signal
PFG,https://www.tradingview.com/chart/?symbol=PFG,"Principal Financial Group, Inc.",Financial Services,103.96,22456647680,-4.5,819.0,10.33,3.66,68.44,96.46,87.45,True,True,True,BULLISH TREND,False,53.48,NEUTRAL,5,"PFG Stock Trading at a Discount to Industry at 1.88X: Time to Hold? | MGIC Investment Lags Industry, Trades at a Discount: Time to Hold? | Are Wall Street Analysts Predicting Principal Financial Stock Will Climb or Sink?",14.92,10.18,1457624960.0,33.624,13.39,10.1,67.18,WATCHLIST
BEN,https://www.tradingview.com/chart/?symbol=BEN,"Franklin Resources, Inc.",Financial Services,31.23,16228268032,8.7,87.2,17.36,4.66,45.58,28.05,24.87,True,True,True,BULLISH TREND,False,56.59,NEUTRAL,5,Is Franklin Resources (BEN) Still Attractive After A 54% One Year Share Price Climb | Franklin's Expansion in Digital Assets: Next Growth Engine? | What to Know About This New $83 Million Virtu Financial Position,23.84,10.54,-242137504.0,23.471,6.7,8.12,67.08,WATCHLIST
MKC,https://www.tradingview.com/chart/?symbol=MKC,"McCormick & Company, Incorporated",Consumer Defensive,46.175,12413834240,16.7,528.3,-33.35,-8.09,46.37,49.7,61.47,False,False,False,NO CLEAR ENTRY,False,53.37,NEUTRAL,5,"Sector Update: Consumer Stocks Decline Friday Afternoon | Top Midday Stories: Dell Q1 Earnings Results, Guidance Top Estimates; Autodesk to Acquire MaintainX in $3.6 Billion All-Cash Deal | Why The McCormick (MKC) Investment Story Is Being Reset After Analyst Cuts And Deal News",7.57,13.8,372775008.0,65.158,25.35,23.12,67.07,WATCHLIST
BKNG,https://www.tradingview.com/chart/?symbol=BKNG,Booking Holdings Inc.,Consumer Cyclical,166.97,129381457920,16.2,240.0,0.1,-1.57,60.8,170.26,193.65,False,False,False,NO CLEAR ENTRY,False,61.29,POSITIVE,5,A 224-Year-Old Wall Street Stalwart Just Announced a Reverse Stock Split -- and It's Truly a Head-Scratcher | A Look At Booking Holdings (BKNG) Valuation After Resilient Q1 Results And US$750 Million Debt Offering | Is Booking Holdings Stock Underperforming the Nasdaq?,22.03,13.57,7075125248.0,,,22.23,67.0,WATCHLIST
CB,https://www.tradingview.com/chart/?symbol=CB,Chubb Limited,Financial Services,313.465,121580560384,10.2,78.7,-8.28,-3.91,41.13,325.01,304.92,False,True,True,NO CLEAR ENTRY,False,46.29,NEUTRAL,5,How Is Chubb's Stock Performance Compared to Other Property & Casualty Insurance Stocks? | CB Stock Trades Above 200-Day SMA: What Should Investors Do? | Here’s What Analysts Think About Chubb Limited (CB),11.08,10.72,12622624768.0,31.458,15.43,18.53,67.0,WATCHLIST
URI,https://www.tradingview.com/chart/?symbol=URI,"United Rentals, Inc.",Industrials,998.02,62522515456,7.2,6.6,21.87,5.36,62.28,869.01,872.96,True,True,False,BULLISH TREND,False,70.35,POSITIVE,5,United Rentals: The Industrial Stock Workhorse I'd Happily Hold Through Any Market Crash | Can United Rentals’ (URI) ChatGPT Integration Deepen Customer Stickiness Or Just Burnish Its Innovation Story? | CAR's Strategic Mobility Partnerships Offer Long-Term Opportunities,25.52,18.54,1870625024.0,167.473,28.24,15.32,66.98,WATCHLIST
AVB,https://www.tradingview.com/chart/?symbol=AVB,"AvalonBay Communities, Inc.",Real Estate,182.66,25914351616,2.5,40.3,3.18,-0.43,40.28,176.21,177.99,True,True,False,BULLISH TREND,False,68.04,POSITIVE,5,"Equity Residential Merger With AvalonBay Reshapes Scale Valuation And Outlook | Wolfe Research upgrades AvalonBay, Equity Residential on merger synergy and value | Top Analyst Reports for Alphabet, Apple & Micron Technology",22.66,37.49,1392035584.0,81.307,9.72,37.27,66.84,WATCHLIST
ICE,https://www.tradingview.com/chart/?symbol=ICE,"Intercontinental Exchange, Inc.",Financial Services,140.37,79380987904,20.4,79.7,-14.54,-9.29,17.15,156.66,160.78,False,False,False,NO CLEAR ENTRY,False,59.87,NEUTRAL,5,"How The Quiet Analyst Outlook Is Shaping Intercontinental Exchange (ICE)’s Evolving Investment Narrative | ContextLogic appoints Cantaloupe alum to dual CFO, COO seat | 'Compute Is The New Oil' – CME And Intercontinental To Launch Futures Exchanges To Trade AI Computing Power",20.43,15.92,3743124992.0,70.986,13.85,37.67,66.64,WATCHLIST
EXPD,https://www.tradingview.com/chart/?symbol=EXPD,"Expeditors International of Washington, Inc.",Industrials,159.06,20803637248,4.4,16.3,9.78,8.59,62.8,149.18,140.89,True,True,True,BULLISH TREND,False,51.53,NEUTRAL,5,JetBlue Expands Network Reach as It Eyes Entry Into Venezuela | CP Demonstrates Operational Resilience Amid Canadian IBEW Strike | Here's Why Investors Should Bet on Seanergy Maritime Stock Right Now,25.7,23.31,783248512.0,24.708,36.64,7.47,66.32,WATCHLIST
EQIX,https://www.tradingview.com/chart/?symbol=EQIX,"Equinix, Inc.",Real Estate,1075.53,106073341952,12.1,20.0,11.88,-0.39,50.08,1048.95,868.02,True,True,True,BULLISH TREND,False,56.81,NEUTRAL,5,Peter Bergan Joins Vinson & Elkins as Real Estate Partner | 3 Ways to Play the Data Center Land Grab | Why One Real Estate Fund Dumped $62 Million of Cousins Properties Stock,74.17,55.95,2725125120.0,162.961,10.06,14.93,66.14,WATCHLIST
LVS,https://www.tradingview.com/chart/?symbol=LVS,Las Vegas Sands Corp.,Consumer Cyclical,51.345,34023112704,25.3,73.0,-8.37,-3.99,48.25,52.96,56.53,False,False,False,NO CLEAR ENTRY,False,62.76,POSITIVE,5,4 Gaming Stocks Worth Watching Despite Industry Headwinds | Here's Why Las Vegas Sands (LVS) is a Strong Growth Stock | M&A Is Back in a Big Way. These Are the Sectors in Play.,18.95,13.96,1622625024.0,981.405,90.45,13.41,66.12,WATCHLIST
STLD,https://www.tradingview.com/chart/?symbol=STLD,"Steel Dynamics, Inc.",Basic Materials,269.71,38895628288,19.1,93.1,34.26,17.64,78.16,215.46,174.84,True,True,True,WATCH - OVERBOUGHT,False,56.84,NEUTRAL,5,"Winmill Loads Up Qualys, Inc. Stock With 88,000 Shares in A New Position | Barclays Initiates Coverage of Freeport-McMoRan (FCX) with Overweight Rating | Texas Instruments, Generac upgraded: Wall Street's top analyst calls",28.88,15.85,-31788876.0,45.994,15.25,7.22,66.05,WATCHLIST
HUBB,https://www.tradingview.com/chart/?symbol=HUBB,Hubbell Incorporated,Industrials,478.6,25290074112,11.1,12.5,-7.15,-5.58,46.69,502.96,465.85,False,True,True,BUY THE DIP,False,63.17,POSITIVE,5,"2 Cash-Producing Stocks on Our Buy List and 1 We Question | Do Wall Street Analysts Like Hubbell Incorporated Stock? | Hubbell Incorporated (NYSE:HUBB) Looks Like A Good Stock, And It's Going Ex-Dividend Soon",28.32,21.98,541449984.0,72.468,25.82,15.1,65.85,WATCHLIST
FDX,https://www.tradingview.com/chart/?symbol=FDX,FedEx Corporation,Industrials,330.26,78802272256,8.3,17.3,6.27,4.11,68.87,305.2,247.88,True,True,True,BULLISH TREND,False,55.11,NEUTRAL,5,"Truist starts FedEx Freight at Hold, Investor Day reinforces measured approach | Should You Buy FedEx Stock Before June 23? | Wall Street Weighs In on FedEx Freight Stock. It’s a Show-Me Story.",17.64,14.94,894000000.0,140.994,15.87,4.88,65.51,WATCHLIST
BLK,https://www.tradingview.com/chart/?symbol=BLK,"BlackRock, Inc.",Financial Services,1014.81,157532995584,27.0,45.9,-4.48,-4.41,29.74,1033.44,1069.48,False,False,False,NO CLEAR ENTRY,False,57.37,NEUTRAL,5,BlackRock Future Builders RFP Links Skilled Trades Philanthropy And Client Relations | Sector Update: Financial Stocks Softer Late Afternoon | Bitcoin ‘Rage Quitting’ Sends It Slumping. Where Does It Go From Here?,25.56,16.73,7082375168.0,23.635,11.9,24.4,65.49,WATCHLIST
APA,https://www.tradingview.com/chart/?symbol=APA,APA Corporation,Energy,38.225,13511399424,-11.9,32.2,21.43,-4.75,55.04,38.97,28.58,False,True,True,NO CLEAR ENTRY,False,56.34,NEUTRAL,5,Is APA's Suriname Portfolio the Market's Overlooked Gem? | How The APA (APA) Investment Story Is Evolving As Analyst Targets Hold Steady | Stocks Settle Mixed on Conflicting US-Iran Signals,8.91,8.98,1691250048.0,61.314,26.22,18.31,65.21,WATCHLIST
HST,https://www.tradingview.com/chart/?symbol=HST,"Host Hotels & Resorts, Inc.",Real Estate,23.485,16293101568,2.8,105.3,20.48,11.15,73.28,20.98,18.34,True,True,True,WATCH - OVERBOUGHT,False,59.47,NEUTRAL,5,8 Dividend S&P 500 Stocks Yield Enough To Still Be Worthwhile | Top Dividend Stocks To Consider In May 2026 | 3 Dividend Stocks To Consider With Yields Up To 5.7%,15.98,23.48,1190875008.0,80.482,14.87,16.37,65.11,WATCHLIST
OKE,https://www.tradingview.com/chart/?symbol=OKE,"ONEOK, Inc.",Energy,86.636,54583525376,19.6,18.0,1.8,-2.97,46.35,88.08,76.82,False,True,True,NO CLEAR ENTRY,False,59.35,NEUTRAL,5,"Want Passive Income You Can Bank On? Buy This Elite 5.1%-Yielding Dividend Stock And Never Look Back. | ONEOK Loses US$6.4b Market Value But Insiders See Windfall Of US$45k | S&P 500 Posts Monthly Gain to New High, Ninth Straight Weekly Rise",15.44,14.01,454375008.0,149.644,15.9,10.03,65.05,WATCHLIST
KMI,https://www.tradingview.com/chart/?symbol=KMI,"Kinder Morgan, Inc.",Energy,31.4199,69903810560,13.8,36.0,-6.43,-2.52,42.04,32.41,29.01,False,True,True,NO CLEAR ENTRY,False,75.14,POSITIVE,5,Here's How EPD's Midstream Network Supports Durable Cash Flow Growth | Is Kinder Morgan's Undervaluation a Buying Opportunity for Investors? | Micron Technology and Houlihan Lokey have been highlighted as Zacks Bull and Bear of the Day,21.09,20.55,1646875008.0,98.84,10.6,18.92,64.86,WATCHLIST
BSX,https://www.tradingview.com/chart/?symbol=BSX,Boston Scientific Corporation,Healthcare,48.105,71501119488,11.6,100.0,-36.89,-14.86,33.07,59.23,84.67,False,False,False,NO CLEAR ENTRY,False,59.04,NEUTRAL,5,Can ISRG's Digital Roadmap Unlock the Next Phase of Robotic Surgery? | 3 S&P 500 Stocks with Solid Fundamentals | How A Quiet Reset Is Shaping The Boston Scientific (BSX) Investment Story,20.13,12.88,2807124992.0,42.25,14.66,17.29,64.82,WATCHLIST
HPQ,https://www.tradingview.com/chart/?symbol=HPQ,HP Inc.,Technology,27.99,25597489152,9.0,16.2,52.11,34.37,76.23,20.94,22.68,True,True,False,WATCH - OVERBOUGHT,False,58.23,NEUTRAL,5,Why ‘Nvidia Inside’ Can Work in the PC Market | Why Are HP (HPQ) Shares Soaring Today | Nvidia Introduces First PCs Designed for AI Agents,10.37,9.3,3450874880.0,,,4.45,64.76,WATCHLIST
LITE,https://www.tradingview.com/chart/?symbol=LITE,Lumentum Holdings Inc.,Technology,1027.0,79846924288,90.1,,31.12,8.11,52.94,874.56,466.44,True,True,True,BULLISH TREND,False,59.75,NEUTRAL,5,"Coherent Advances 16%, Lumentum Climbs 13%, Applied Optoelectronics Adds 8% as Optics Rally Broadens | Assessing Lumentum Holdings (LITE) Valuation After A Recent 6% Share Price Move | Applied Optoelectronics Is Up 439% in 2026: Is It Outperforming Other Optics Stocks Like Lumentum and Coherent?",180.05,56.7,93350000.0,111.445,22.83,17.68,64.73,WATCHLIST
MSCI,https://www.tradingview.com/chart/?symbol=MSCI,MSCI Inc.,Financial Services,630.705,45869658112,14.1,49.1,10.3,7.49,70.61,572.64,563.16,True,True,True,WATCH - OVERBOUGHT,False,54.32,NEUTRAL,5,"1 Large-Cap Stock Worth Investigating and 2 Facing Challenges | Indian shares may open higher, rebounding from Friday's record foreign sell-off | SpaceX, OpenAI Windfall Fuels Bets on Next-Wave Asian AI Winners",36.02,28.02,1206103936.0,,,40.74,64.65,WATCHLIST
CNC,https://www.tradingview.com/chart/?symbol=CNC,Centene Corporation,Healthcare,60.56,29904347136,5.1,18.3,35.78,13.54,54.84,46.77,40.01,True,True,True,BULLISH TREND,False,59.39,NEUTRAL,5,"Centene, Deckers and 14 Other ‘Dividend Hopefuls’ | Centene Corporation (CNC): One of the Premier Stocks to Buy According to AI | Can UnitedHealth's Pediatric Authorization Cuts Ease Care Delays?",,13.59,6847499776.0,76.049,-26.04,-3.61,64.5,WATCHLIST
NFLX,https://www.tradingview.com/chart/?symbol=NFLX,"Netflix, Inc.",Communication Services,84.125,354233417728,16.2,86.4,-13.35,-8.62,34.46,92.77,100.83,False,False,False,NO CLEAR ENTRY,False,64.53,POSITIVE,5,A Look At Netflix (NFLX) Valuation As Live Content And Franchise Deals Broaden Its Business Model | How Much Upside Can AMZN Stock's Growth Deliver? | Amazon Stock's Great Standoff,27.14,21.89,25993676800.0,53.788,48.49,28.52,64.31,WATCHLIST
DOC,https://www.tradingview.com/chart/?symbol=DOC,"Healthpeak Properties, Inc.",Real Estate,19.28,13292012544,7.1,363.9,11.25,18.04,43.27,17.62,17.13,True,True,True,BULLISH TREND,False,64.02,POSITIVE,5,8 Dividend S&P 500 Stocks Yield Enough To Still Be Worthwhile | Healthpeak Properties Gains 22.7% Year to Date: Will the Trend Last? | SPHD’s High Dividend Low Volatility Promise Has Returned Just 6 Percent Annualized While the S&P 500 Doubled It,60.25,142.81,1109761536.0,118.243,2.8,7.73,63.87,WATCHLIST
MCHP,https://www.tradingview.com/chart/?symbol=MCHP,Microchip Technology Incorporated,Technology,95.655,51852595200,35.1,,29.37,2.33,47.38,83.51,70.07,True,True,True,BULLISH TREND,False,63.15,POSITIVE,5,"Why Is MCHP Stock Surging Premarket Today? | The Zacks Analyst Blog Highlights Microchip, Ross Stores, MasTec, Arrow and Littelfuse | Microchip Technology Says Inventory Slump Is Nearing End as Data Center Wins Build",434.8,23.38,1139912448.0,87.715,3.4,4.88,63.75,WATCHLIST
HIG,https://www.tradingview.com/chart/?symbol=HIG,"The Hartford Insurance Group, Inc.",Financial Services,128.38,35192913920,6.1,41.4,-9.07,-5.02,39.55,134.62,132.83,False,False,True,NO CLEAR ENTRY,False,45.79,NEUTRAL,5,"3 Reasons to Avoid HIG and 1 Stock to Buy Instead | How Is Progressive Corporation's Stock Performance Compared to Other Property & Casualty Insurance Stocks? | Why You Might Be Interested In The Hartford Insurance Group, Inc. (NYSE:HIG) For Its Upcoming Dividend",9.03,8.91,5603250176.0,23.151,22.74,14.11,63.71,WATCHLIST
V,https://www.tradingview.com/chart/?symbol=V,Visa Inc.,Financial Services,316.42,601749782528,17.1,35.5,-1.07,-3.34,38.14,315.57,329.27,True,False,False,NO CLEAR ENTRY,False,56.6,NEUTRAL,5,"Can Mastercard's TIPS Pilot Improve Cross-Border Payment Efficiency? | Tariff-Driven Inflation Is Trapping Mortgage Rates, and the Fed Can’t Fix It with Rate Cuts | Nu Holdings Shares Down 22% As It Names New CFO For US Push",27.61,21.32,20839749632.0,67.233,60.35,51.68,63.68,WATCHLIST
IBM,https://www.tradingview.com/chart/?symbol=IBM,International Business Machines Corporation,Technology,323.515,304128065536,9.5,14.2,36.15,40.35,93.24,241.11,268.07,True,True,False,WATCH - OVERBOUGHT,False,61.84,POSITIVE,5,"Why a massive Nvidia stock rally may be just getting started | Top Midday Stories: Marvell Next Trillion-Dollar Firm, Nvidia CEO Reportedly Says; Anthropic Expands Mythos Access to 150 New Partners | Software ETF sees record retail buying as AI concerns ease",28.61,24.11,13080750080.0,211.169,35.77,15.61,63.65,WATCHLIST
ADP,https://www.tradingview.com/chart/?symbol=ADP,"Automatic Data Processing, Inc.",Technology,229.56,91762999296,7.0,10.5,7.67,7.17,63.93,208.43,245.23,True,False,False,NO CLEAR ENTRY,False,50.99,NEUTRAL,5,Can Automatic Data Processing (ADP) Defy Wall Street’s AI Disruption Narrative? | Top Economist Says There Is 'Zero Evidence' Of AI Job Losses Despite Growing Layoff Fears | Markets Await JOLTS Numbers,21.39,18.83,4749387264.0,69.259,71.21,20.12,63.63,WATCHLIST
KO,https://www.tradingview.com/chart/?symbol=KO,The Coca-Cola Company,Consumer Defensive,78.42,337400659968,12.1,18.2,-1.57,-0.21,40.31,77.83,72.47,True,True,True,BULLISH TREND,False,50.0,NEUTRAL,5,The Coca-Cola Company readies listing of India bottler | Inside Coca-Cola’s use of AI to sharpen marketing spend | Coca-Cola India Bottler Listing Plan And What It Means For KO Investors,24.66,22.51,3124250112.0,124.943,43.37,27.8,63.6,WATCHLIST
ADSK,https://www.tradingview.com/chart/?symbol=ADSK,"Autodesk, Inc.",Technology,236.615,49960132608,18.4,231.4,-4.18,-3.17,51.29,238.55,274.53,False,False,False,NO CLEAR ENTRY,False,54.52,NEUTRAL,5,The AI Double-Tap That Lit Up Cadence | ADSK Q1 Earnings Call Puts MaintainX & AI at the Center | 1 of Wall Street’s Favorite Stocks on Our Buy List and 2 We Avoid,34.54,16.6,3060999936.0,85.419,50.4,19.49,63.51,WATCHLIST
DELL,https://www.tradingview.com/chart/?symbol=DELL,Dell Technologies Inc.,Technology,441.34,286680449024,87.5,282.5,188.31,109.99,86.55,227.49,156.61,True,True,True,WATCH - OVERBOUGHT,False,59.39,NEUTRAL,5,"Where the AI trade goes next | Why the epic Dell stock price surge isn't over, Goldman Sachs says | HPE stock explodes for one simple reason: It's finally seen as an AI play",50.9,22.23,-128125000.0,,,6.28,63.5,WATCHLIST
UNH,https://www.tradingview.com/chart/?symbol=UNH,UnitedHealth Group Incorporated,Healthcare,376.23,341671182336,2.0,0.7,28.56,2.02,31.99,342.33,324.84,True,True,True,BULLISH TREND,False,50.4,NEUTRAL,5,UnitedHealth Group (UNH) Hit by Medicare Reimbursement Concerns | Beyond the AI Boom: 3 Forgotten Sectors to Buy Amid Historic Market Disconnect | UnitedHealth Lawsuit Raises Fresh Questions On Medicaid Revenue And Investor Risk,28.29,18.03,17687500800.0,73.982,12.18,2.68,63.48,WATCHLIST
TXT,https://www.tradingview.com/chart/?symbol=TXT,Textron Inc.,Industrials,91.27,15870845952,11.8,10.6,-9.33,-3.64,51.32,90.5,87.82,True,True,True,BULLISH TREND,False,57.71,NEUTRAL,5,3 Industrials Stocks We Find Risky | Q1 Earnings Roundup: Textron (NYSE:TXT) And The Rest Of The Aerospace Segment | Strength in Defense Aerospace Drives RBC Bearings: Can the Momentum Sustain?,17.42,12.51,622374976.0,52.674,12.25,6.15,63.47,WATCHLIST
IRM,https://www.tradingview.com/chart/?symbol=IRM,Iron Mountain Incorporated,Real Estate,128.315,38176878592,21.6,860.0,17.25,0.88,55.44,117.42,100.42,True,True,True,BULLISH TREND,False,66.41,POSITIVE,5,How Senior Housing and Warehouses Defend Monthly Payouts Today | Are Business Services Stocks Lagging  Clean Harbors (CLH) This Year? | 3 Reasons Growth Investors Will Love Iron Mountain (IRM),139.47,47.99,-499464512.0,,,3.76,63.41,WATCHLIST
AMP,https://www.tradingview.com/chart/?symbol=AMP,"Ameriprise Financial, Inc.",Financial Services,444.1025,39923523584,9.0,66.0,-6.23,-4.59,27.49,455.76,474.62,False,False,False,NO CLEAR ENTRY,False,47.67,NEUTRAL,5,Assessing Ameriprise Financial (AMP) Valuation After Recent Share Price Weakness | Ameriprise’s Bill Williams on Stepping Into a New Role and Betting Big on AI | Former Wells Fargo Team Rejoins the Firm From Ameriprise,11.07,9.32,3355624960.0,56.246,66.94,20.17,63.36,WATCHLIST
HAL,https://www.tradingview.com/chart/?symbol=HAL,Halliburton Company,Energy,39.955,33378318336,-0.3,133.5,11.62,-4.09,38.92,39.72,31.02,True,True,True,BULLISH TREND,False,48.57,NEUTRAL,5,Reflecting On Oilfield Services Stocks’ Q1 Earnings: Halliburton (NYSE:HAL) | Is It Too Late To Consider Halliburton (HAL) After Its 1 Year 104% Surge? | Why Baker Hughes (BKR) Stock Is Nosediving,22.07,13.73,2027000064.0,74.651,14.63,6.95,63.34,WATCHLIST
NDAQ,https://www.tradingview.com/chart/?symbol=NDAQ,"Nasdaq, Inc.",Financial Services,87.07,49247293440,13.7,33.8,-0.84,-4.65,42.04,88.44,89.76,False,False,False,NO CLEAR ENTRY,False,70.8,POSITIVE,5,"BTC Slips To $67K While Peter Schiff Says Bitcoin's Chart Looks Like A 'Huge Top' | LSEGY or NDAQ: Which Is the Better Value Stock Right Now? | Sivers Semiconductors Surges 1,700% As Short Bets Rapidly Rise",26.23,19.66,1559624960.0,79.058,16.2,35.28,63.31,WATCHLIST
ALGN,https://www.tradingview.com/chart/?symbol=ALGN,"Align Technology, Inc.",Healthcare,166.61,11932296192,6.2,23.9,-11.86,-6.87,50.93,173.81,158.33,False,True,True,BUY THE DIP,False,57.13,NEUTRAL,5,"Align Technology Inc. (ALGN): One of the Top Stocks to Buy According to AI | Align Technology (ALGN) Down 1.6% Since Last Earnings Report: Can It Rebound? | Align Technology Highlights New Invisalign Solutions, Financing and Global Growth",28.05,13.46,538981504.0,2.797,10.82,10.5,63.27,WATCHLIST
COST,https://www.tradingview.com/chart/?symbol=COST,Costco Wholesale Corporation,Consumer Defensive,951.69,422219677696,21.5,45.5,-4.96,-5.93,34.59,1005.63,954.83,False,False,True,NO CLEAR ENTRY,False,56.21,NEUTRAL,5,"Dollar General earnings beat: How high-income consumers factor in | Tariff-Driven Inflation Is Trapping Mortgage Rates, and the Fed Can’t Fix It with Rate Cuts | Costco Wholesale Corporation (COST) is Attracting Investor Attention: Here is What You Should Know",47.9,42.07,7770375168.0,60.257,29.15,3.01,63.15,WATCHLIST
CME,https://www.tradingview.com/chart/?symbol=CME,CME Group Inc.,Financial Services,248.22,89683918848,14.4,21.3,-22.15,-14.27,26.59,290.71,277.24,False,False,True,NO CLEAR ENTRY,False,54.56,NEUTRAL,5,"US Lowers Tariffs on Farm, Industrial Equipment as Costs Soar | CME Group (CME) is a Top Dividend Stock Right Now: Should You Buy? | 'Compute Is The New Oil' – CME And Intercontinental To Launch Futures Exchanges To Trade AI Computing Power",21.16,19.23,3030237440.0,14.059,15.92,63.32,63.06,WATCHLIST
MS,https://www.tradingview.com/chart/?symbol=MS,Morgan Stanley,Financial Services,216.05,340772388864,16.3,31.9,30.07,13.61,84.8,185.67,169.9,True,True,True,WATCH - OVERBOUGHT,False,45.01,NEUTRAL,5,"SpaceX negotiating underwriting fees under 0.75% for IPO, Bloomberg News reports | SpaceX Wants a Fee Cut From IPO Bankers Targeting $500 Million Windfall | Morgan Stanley Admits It Got Dell Wrong, Lifts Price Target by 164%",19.57,17.01,,502.246,16.39,24.75,62.8,WATCHLIST
DXCM,https://www.tradingview.com/chart/?symbol=DXCM,"DexCom, Inc.",Healthcare,73.35,28303783936,15.0,92.2,-0.58,19.56,73.88,64.19,67.77,True,True,False,WATCH - OVERBOUGHT,False,59.79,NEUTRAL,5,"TNDM Stock: What to Know About Tandem's 2026 Reset | How The DexCom (DXCM) Investment Story Is Shifting With New Guidance And Valuation Resets | Signos raises $20M, expands Dexcom partnership for weight loss",31.48,23.91,1056637504.0,46.833,35.62,19.31,62.78,WATCHLIST
BNY,https://www.tradingview.com/chart/?symbol=BNY,BNY,Financial Services,142.29,97664868352,13.4,41.8,19.57,6.36,76.39,131.09,116.52,True,True,True,WATCH - OVERBOUGHT,False,57.86,NEUTRAL,5,Bank of New York Mellon (BNY) Reported 42% Year-Over-Year Increase in EPS | Robinhood Stock Spikes. It’s About More Than Its Trump Account Partnership. | The Trump Account App Has Launched. Here’s What Parents Need to Know.,17.65,14.72,,,13.47,28.72,62.73,WATCHLIST
SPGI,https://www.tradingview.com/chart/?symbol=SPGI,S&P Global Inc.,Financial Services,414.525,122699399168,10.4,32.5,-6.23,-2.48,45.09,423.41,474.48,False,False,False,NO CLEAR ENTRY,False,58.62,NEUTRAL,5,Financial Services Roundup: Market Talk | 2 Profitable Stocks on Our Watchlist and 1 Facing Headwinds | Wall Street Extends Record Run as Nvidia Rally Boosts Tech Sector,26.22,18.67,5298874880.0,38.392,13.94,30.36,62.59,WATCHLIST
VLO,https://www.tradingview.com/chart/?symbol=VLO,Valero Energy Corporation,Energy,259.325,77002096640,6.6,,21.24,5.54,59.13,242.65,192.66,True,True,True,BULLISH TREND,False,58.38,NEUTRAL,5,"Zacks Investment Ideas feature highlights: XLE, Valero, Marathon and Phillips 66 | REX: Tax Credits & Falling Corn Prices Fuel Record Quarter – Quarterly Update Report | Eni Expands Energy Storage Ambitions Through Partnership With FIB",18.94,12.34,4786625024.0,42.664,15.85,3.57,62.47,WATCHLIST
CSX,https://www.tradingview.com/chart/?symbol=CSX,CSX Corporation,Industrials,45.87,85232828416,1.7,26.5,6.58,2.04,60.42,43.61,38.07,True,True,True,BULLISH TREND,False,54.4,NEUTRAL,5,Is CSX (CSX) Stock Outpacing Its Transportation Peers This Year? | Brookfield Infrastructure Could Quietly Cash In on the Coming Rail Megamerger | Union Pacific vs. CSX: Better Railroad Stock in 2026?,28.14,21.21,1129874944.0,143.06,23.68,21.55,62.4,WATCHLIST
ZBRA,https://www.tradingview.com/chart/?symbol=ZBRA,Zebra Technologies Corporation,Technology,252.025,12004805632,14.3,3.8,12.55,10.99,57.33,229.25,257.41,True,False,False,NO CLEAR ENTRY,False,48.5,NEUTRAL,5,5 Stocks With Real Revenue From Physical AI Today (Not 2030 Promises) | What Are Wall Street Analysts' Target Price for Zebra Technologies Stock? | Is Zebra Technologies (ZBRA) Pricing Reflect Recent Rebound And Long Term Share Price Weakness,30.47,12.17,559000000.0,82.104,11.78,7.49,62.33,WATCHLIST
AJG,https://www.tradingview.com/chart/?symbol=AJG,Arthur J. Gallagher & Co.,Financial Services,205.025,52679532544,34.6,16.2,-10.3,-1.48,59.4,210.67,247.43,False,False,False,NO CLEAR ENTRY,False,70.62,POSITIVE,5,How Arthur J. Gallagher (AJG) Narrative Is Evolving With An Unchanged Fair Value Estimate | 1 Profitable Stock with Exciting Potential and 2 We Turn Down | AJG Bets on Specialty Insurance Buyouts for Long-Term Growth,33.18,13.81,1080225024.0,56.18,7.01,11.35,62.25,WATCHLIST
CBOE,https://www.tradingview.com/chart/?symbol=CBOE,"Cboe Global Markets, Inc.",Financial Services,273.3354,28605583360,6.5,54.4,-7.93,-16.23,18.44,315.9,271.21,False,True,True,NO CLEAR ENTRY,False,53.03,NEUTRAL,5,Review Preview: Summer Loving | Investors are piling into bullish options bets — another sign that the stock market is getting overheated | 2 ETFs Paying Reliable Dividends in an Uncertain Market,23.34,18.77,1003075008.0,29.489,25.14,25.77,62.09,WATCHLIST
MPC,https://www.tradingview.com/chart/?symbol=MPC,Marathon Petroleum Corporation,Energy,264.29,77141336064,8.8,,26.44,7.78,59.88,240.61,200.45,True,True,True,BULLISH TREND,False,55.23,NEUTRAL,5,"Shell-Led LNG Canada Gets Preliminary Nod for Phase Two Expansion | Zacks Investment Ideas feature highlights: XLE, Valero, Marathon and Phillips 66 | The Zacks Analyst Blog Highlights Micron, Nvidia, Marathon, Lenovo and Tapestry",17.41,11.21,3518749952.0,146.523,27.46,3.41,62.07,WATCHLIST
SNPS,https://www.tradingview.com/chart/?symbol=SNPS,"Synopsys, Inc.",Technology,493.44,94483562496,41.9,-96.0,16.2,0.9,42.85,463.59,467.79,True,True,False,BULLISH TREND,False,52.14,NEUTRAL,5,The AI Double-Tap That Lit Up Cadence | Palantir Leads Software Stocks as Earnings Revisions Improve | Nvidia Highlights New AI Products at Computex,112.66,28.63,3538958592.0,35.574,3.82,8.91,62.02,WATCHLIST
