Ticker,Chart Link,Company,Sector,Price,Market Cap,Revenue Growth %,EPS Growth %,3M Momentum %,Pullback 1M %,RSI,MA50,MA200,Above MA50,Above MA200,MA50 > MA200,Entry Setup,High Conviction Dip Buy,News Sentiment Score,News Sentiment Label,News Headlines Count,Top News Headlines,P/E,Forward P/E,Free Cash Flow,Debt to Equity,ROE %,Profit Margin %,Score,Signal
NVDA,https://www.tradingview.com/chart/?symbol=NVDA,NVIDIA Corporation,Technology,202.035,4893489758208,85.2,214.5,15.16,-7.85,35.76,209.89,190.03,False,True,True,BUY THE DIP,False,59.16,NEUTRAL,5,"Nvidia, Micron, AMD lead tech sell-off as AI trade cools | Micron stock hits an all-time high, thanks to the new Anthropic deal | 'The most powerful market force I think I've ever seen in my career': Strategist discusses",30.94,15.87,46335873024.0,6.555,114.29,62.97,90.23,BUY SIGNAL
INCY,https://www.tradingview.com/chart/?symbol=INCY,Incyte Corporation,Healthcare,105.2,21017081856,20.9,83.8,16.31,8.0,67.49,98.48,96.98,True,True,True,BULLISH TREND,False,68.54,POSITIVE,5,"2 Growth Stocks to Add to Your Roster and 1 We Avoid | Here Are Monday’s Best Wall Street Analyst Research Calls: Accenture, Apple, Boyd Gaming, BWX Technologies, Conoco-Phillips, Estee Lauder, Hut 8, Incyte, SpaceX, and More | Incyte Stock: Is INCY Outperforming the Healthcare Sector?",14.86,11.44,558867008.0,0.701,30.82,26.71,89.98,BUY SIGNAL
FSLR,https://www.tradingview.com/chart/?symbol=FSLR,"First Solar, Inc.",Technology,253.57,27246948352,23.6,65.1,33.51,1.88,30.16,239.0,233.87,True,True,True,BULLISH TREND,False,51.35,NEUTRAL,5,Mizuho Raises its Price Target on First Solar (FSLR) | Is First Solar Dirt Cheap Amid the AI Boom? | Renewable Energy Stocks Q1 Results: Benchmarking First Solar (NASDAQ:FSLR),16.39,10.84,1147664768.0,5.943,18.44,30.73,87.01,BUY SIGNAL
GOOGL,https://www.tradingview.com/chart/?symbol=GOOGL,Alphabet Inc.,Communication Services,347.49,4240271998976,21.8,82.0,15.11,-10.31,41.65,368.43,311.91,False,True,True,BUY THE DIP,False,44.42,NEUTRAL,5,"Nvidia, Micron, AMD lead tech sell-off as AI trade cools | SpaceX initiates first bond sale while the stock sheds post-IPO gains | Nasdaq Tumbles as Micron, Chip Giants Lead Brutal Tech Rout",26.51,23.88,27921750016.0,20.026,38.88,37.92,86.05,BUY SIGNAL
GOOG,https://www.tradingview.com/chart/?symbol=GOOG,Alphabet Inc.,Communication Services,346.96,4233499508736,21.8,82.0,16.1,-9.47,43.55,365.72,311.42,False,True,True,BUY THE DIP,False,44.42,NEUTRAL,5,"Nvidia, Micron, AMD lead tech sell-off as AI trade cools | SpaceX initiates first bond sale while the stock sheds post-IPO gains | Nasdaq Tumbles as Micron, Chip Giants Lead Brutal Tech Rout",26.46,23.84,27921750016.0,20.026,38.88,37.92,86.05,BUY SIGNAL
WDC,https://www.tradingview.com/chart/?symbol=WDC,Western Digital Corporation,Technology,671.87,231578140672,45.5,482.9,127.97,38.15,60.98,494.35,272.1,True,True,True,BULLISH TREND,False,43.17,NEUTRAL,5,"AI bubble fears send tech stocks plunging | SanDisk Plunges 11%, Micron and Western Digital Slide 10% as Korean Market Crash Hits Memory Chips | Update: US Equity Futures Fall Pre-Bell Amid Broad Tech Sell-Off, US-Iran Peace Negotiations",40.23,37.21,2075000064.0,17.81,85.92,55.29,85.9,BUY SIGNAL
AFL,https://www.tradingview.com/chart/?symbol=AFL,Aflac Incorporated,Financial Services,117.805,59960967168,27.9,3860.0,11.03,-0.0,62.24,114.99,110.56,True,True,True,BULLISH TREND,False,51.53,NEUTRAL,5,"UNM Outperforms Industry, Trades Near 52-Week High: Time to Exit? | MarketBeat Week in Review – 06/08 - 06/12 | The “Duck Stock” Keeps Quietly Making Money for Shareholders",13.46,15.49,4923125248.0,48.276,16.47,25.6,85.02,BUY SIGNAL
UAL,https://www.tradingview.com/chart/?symbol=UAL,"United Airlines Holdings, Inc.",Industrials,121.29,39367061504,10.6,84.5,29.09,21.73,64.49,101.83,102.4,True,True,False,BULLISH TREND,False,56.67,NEUTRAL,5,"UAL Expands Starlink Wi-Fi Service to International Widebody Routes | Berkshire Just Broke Warren Buffett’s Most Famous Rule and Poured $2.65 Billion Into This Airline | Airlines Gain on Pricing as 'Capacity Discipline' Becomes Key Into Summer, BofA Says",10.85,8.53,1647000064.0,195.081,25.73,6.06,84.38,BUY SIGNAL
LLY,https://www.tradingview.com/chart/?symbol=LLY,Eli Lilly and Company,Healthcare,1105.08,985445498880,55.5,169.9,21.57,6.09,60.7,1016.57,967.12,True,True,True,BULLISH TREND,False,51.22,NEUTRAL,5,Lilly Drug Access Draws Attention | Eli Lilly vs Viking Therapeutics: Which GLP-1 Stock Is the Better Buy? | Here is What to Know Beyond Why Eli Lilly and Company (LLY) is a Trending Stock,39.33,24.86,9156599808.0,139.015,107.46,34.99,84.2,BUY SIGNAL
KEYS,https://www.tradingview.com/chart/?symbol=KEYS,"Keysight Technologies, Inc.",Technology,355.735,60793458688,31.5,35.6,23.11,5.39,54.01,345.56,248.45,True,True,True,BULLISH TREND,False,59.39,NEUTRAL,5,"Is AMETEK Stock Just More Market Exposure? | Top Stock Reports for Visa, TotalEnergies & AT&T | Inspection Instruments Stocks Q1 Highlights: Keysight (NYSE:KEYS)",57.38,30.0,1085750016.0,43.642,18.17,17.31,83.6,BUY SIGNAL
